array_ID,date,species,count_in_trap,trap_type,site_name
Array 7,9/2/2024,Eleutherodactylus planirostris,2,funnel,Three Lakes
Array 7,9/2/2024,Acris gryllus,2,funnel,Three Lakes
Array 8,9/2/2024,Eleutherodactylus planirostris,3,funnel,Three Lakes
Array 8,9/2/2024,Storeria victa,1,funnel,Three Lakes
Array 9,9/2/2024,Anolis sagrei,1,funnel,Three Lakes
Array 11,9/2/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 11,9/2/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 5,9/2/2024,Scincella lateralis,1,funnel,Three Lakes
Array 1,9/2/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 3,9/2/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 3,9/2/2024,Thamnophis sirtalis,1,funnel,Three Lakes
Array 4,9/2/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 4,9/2/2024,Masticophis flagellum,1,funnel,Three Lakes
Array 7,9/3/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 7,9/3/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 7,9/3/2024,Gastrophryne carolinensis,2,funnel,Three Lakes
Array 8,9/3/2024,Eleutherodactylus planirostris,8,funnel,Three Lakes
Array 8,9/3/2024,Dryophytes femoralis,3,funnel,Three Lakes
Array 8,9/3/2024,Dryophytes femoralis,2,box,Three Lakes
Array 8,9/3/2024,Gastrophryne carolinensis,3,funnel,Three Lakes
Array 8,9/3/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 8,9/3/2024,Lithobates sphenocephalus,1,funnel,Three Lakes
Array 8,9/3/2024,Lithobates grylio,1,box,Three Lakes
Array 8,9/3/2024,Didelphis virginiana,1,box,Three Lakes
Array 9,9/3/2024,Dryophytes squirellus,7,funnel,Three Lakes
Array 9,9/3/2024,Dryophytes femoralis,4,funnel,Three Lakes
Array 9,9/3/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 9,9/3/2024,Gastrophryne carolinensis,4,funnel,Three Lakes
Array 9,9/3/2024,Anolis sagrei,1,funnel,Three Lakes
Array 9,9/3/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 9,9/3/2024,Dryophytes femoralis,7,box,Three Lakes
Array 9,9/3/2024,Dryophytes squirellus,2,box,Three Lakes
Array 9,9/3/2024,Gastrophryne carolinensis,1,box,Three Lakes
Array 9,9/3/2024,Anaxyrus quercicus,1,box,Three Lakes
Array 10,9/3/2024,Dryophytes squirellus,6,funnel,Three Lakes
Array 10,9/3/2024,Dryophytes femoralis,1,funnel,Three Lakes
Array 10,9/3/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 10,9/3/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 10,9/3/2024,Acris gryllus,1,funnel,Three Lakes
Array 10,9/3/2024,Anaxyrus quercicus,1,funnel,Three Lakes
Array 11,9/3/2024,Dryophytes squirellus,25,funnel,Three Lakes
Array 11,9/3/2024,Gastrophryne carolinensis,8,funnel,Three Lakes
Array 11,9/3/2024,Anaxyrus quercicus,3,funnel,Three Lakes
Array 11,9/3/2024,Dryophytes femoralis,1,funnel,Three Lakes
Array 11,9/3/2024,Dryophytes cinereus,1,funnel,Three Lakes
Array 11,9/3/2024,Pseudacris ocularis,1,funnel,Three Lakes
Array 6,9/3/2024,Lithobates sphenocephalus,1,funnel,Three Lakes
Array 5,9/3/2024,Dryophytes squirellus,1,funnel,Three Lakes
Array 5,9/3/2024,Pseudacris ocularis,2,funnel,Three Lakes
Array 5,9/3/2024,Thamnophis sirtalis,1,box,Three Lakes
Array 2,9/3/2024,Lithobates sphenocephalus,2,box,Three Lakes
Array 2,9/3/2024,Dryophytes squirellus,2,box,Three Lakes
Array 1,9/3/2024,Coluber constrictor,1,funnel,Three Lakes
Array 1,9/3/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 3,9/3/2024,Plestiodon inexpectatus,1,funnel,Three Lakes
Array 4,9/3/2024,Anaxyrus quercicus,5,funnel,Three Lakes
Array 4,9/3/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 4,9/3/2024,Lithobates sphenocephalus,1,funnel,Three Lakes
Array 4,9/3/2024,Dryophytes femoralis,1,funnel,Three Lakes
Array 4,9/3/2024,Pseudacris ocularis,1,funnel,Three Lakes
Array 7,9/4/2024,Anaxyrus quercicus,2,funnel,Three Lakes
Array 7,9/4/2024,Gastrophryne carolinensis,2,funnel,Three Lakes
Array 7,9/4/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 8,9/4/2024,Anaxyrus terrestris,5,box,Three Lakes
Array 8,9/4/2024,Lithobates sphenocephalus,1,box,Three Lakes
Array 8,9/4/2024,Dryophytes femoralis,1,box,Three Lakes
Array 8,9/4/2024,Eleutherodactylus planirostris,5,funnel,Three Lakes
Array 8,9/4/2024,Anaxyrus terrestris,2,funnel,Three Lakes
Array 8,9/4/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 9,9/4/2024,Aspidoscelis sexlineata,2,funnel,Three Lakes
Array 9,9/4/2024,Anolis sagrei,1,funnel,Three Lakes
Array 9,9/4/2024,Dryophytes squirellus,1,box,Three Lakes
Array 9,9/4/2024,Dryophytes femoralis,2,box,Three Lakes
Array 9,9/4/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 10,9/4/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 10,9/4/2024,Seminatrix pygaea,1,funnel,Three Lakes
Array 11,9/4/2024,Anaxyrus quercicus,6,funnel,Three Lakes
Array 11,9/4/2024,Dryophytes squirellus,4,funnel,Three Lakes
Array 11,9/4/2024,Gastrophryne carolinensis,2,funnel,Three Lakes
Array 11,9/4/2024,Pseudacris ocularis,2,funnel,Three Lakes
Array 11,9/4/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 5,9/4/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 5,9/4/2024,Plestiodon inexpectatus,1,funnel,Three Lakes
Array 5,9/4/2024,Thamnophis sirtalis,1,box,Three Lakes
Array 2,9/4/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 2,9/4/2024,Lithobates sphenocephalus,1,funnel,Three Lakes
Array 1,9/4/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 4,9/4/2024,Acris gryllus,1,funnel,Three Lakes
Array 7,9/5/2024,Anaxyrus quercicus,1,funnel,Three Lakes
Array 7,9/5/2024,Eleutherodactylus planirostris,3,funnel,Three Lakes
Array 7,9/5/2024,Gastrophryne carolinensis,3,funnel,Three Lakes
Array 8,9/5/2024,Lithobates grylio,1,box,Three Lakes
Array 8,9/5/2024,Peromyscus gossypinus,1,box,Three Lakes
Array 8,9/5/2024,Anaxyrus terrestris,4,funnel,Three Lakes
Array 8,9/5/2024,Eleutherodactylus planirostris,4,funnel,Three Lakes
Array 8,9/5/2024,Gastrophryne carolinensis,2,funnel,Three Lakes
Array 9,9/5/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 10,9/5/2024,Acris gryllus,1,funnel,Three Lakes
Array 10,9/5/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 11,9/5/2024,Eleutherodactylus planirostris,2,funnel,Three Lakes
Array 11,9/5/2024,Pseudacris ocularis,1,funnel,Three Lakes
Array 11,9/5/2024,Anaxyrus quercicus,1,funnel,Three Lakes
Array 11,9/5/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 11,9/5/2024,Scincella lateralis,1,funnel,Three Lakes
Array 6,9/5/2024,Anaxyrus quercicus,1,funnel,Three Lakes
Array 5,9/5/2024,Anaxyrus quercicus,1,funnel,Three Lakes
Array 5,9/5/2024,Coluber constrictor,1,box,Three Lakes
Array 1,9/5/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 1,9/5/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 3,9/5/2024,Plestiodon inexpectatus,1,funnel,Three Lakes
Array 4,9/5/2024,Apalone ferox,1,funnel,Three Lakes
Array 4,9/11/2024,Acris gryllus,1,funnel,Three Lakes
Array 3,9/11/2024,Dryophytes femoralis,1,funnel,Three Lakes
Array 1,9/11/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 2,9/11/2024,Coluber constrictor,1,box,Three Lakes
Array 2,9/11/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 5,9/11/2024,Plestiodon inexpectatus,1,box,Three Lakes
Array 5,9/11/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 5,9/11/2024,Plestiodon egregius,1,funnel,Three Lakes
Array 7,9/11/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 8,9/11/2024,Anaxyrus terrestris,3,box,Three Lakes
Array 8,9/11/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 8,9/11/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 9,9/11/2024,Anolis sagrei,1,funnel,Three Lakes
Array 10,9/11/2024,Acris gryllus,2,funnel,Three Lakes
Array 10,9/11/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 11,9/11/2024,Coluber constrictor,4,funnel,Three Lakes
Array 11,9/11/2024,Eleutherodactylus planirostris,3,funnel,Three Lakes
Array 11,9/11/2024,Pseudacris ocularis,1,funnel,Three Lakes
Array 4,9/12/2024,Acris gryllus,1,funnel,Three Lakes
Array 3,9/12/2024,Plestiodon inexpectatus,1,funnel,Three Lakes
Array 2,9/12/2024,Lithobates sphenocephalus,1,box,Three Lakes
Array 5,9/12/2024,Anaxyrus quercicus,2,funnel,Three Lakes
Array 5,9/12/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 5,9/12/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 5,9/12/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 5,9/12/2024,Coluber constrictor,1,funnel,Three Lakes
Array 6,9/12/2024,Coluber constrictor,1,funnel,Three Lakes
Array 8,9/12/2024,Eleutherodactylus planirostris,4,funnel,Three Lakes
Array 9,9/12/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 9,9/12/2024,Anolis sagrei,1,funnel,Three Lakes
Array 11,9/12/2024,Eleutherodactylus planirostris,2,funnel,Three Lakes
Array 11,9/12/2024,Anaxyrus terrestris,2,funnel,Three Lakes
Array 11,9/12/2024,Pseudacris ocularis,1,funnel,Three Lakes
Array 11,9/12/2024,Anaxyrus quercicus,1,funnel,Three Lakes
Array 4,9/13/2024,Masticophis flagellum,1,funnel,Three Lakes
Array 4,9/13/2024,Coluber constrictor,1,funnel,Three Lakes
Array 4,9/13/2024,Anaxyrus quercicus,1,funnel,Three Lakes
Array 3,9/13/2024,Plestiodon egregius,1,funnel,Three Lakes
Array 5,9/13/2024,Anaxyrus quercicus,1,funnel,Three Lakes
Array 5,9/13/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 6,9/13/2024,Coluber constrictor,1,funnel,Three Lakes
Array 7,9/13/2024,Aspidoscelis sexlineata,3,funnel,Three Lakes
Array 7,9/13/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 7,9/13/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 8,9/13/2024,Coluber constrictor,1,box,Three Lakes
Array 8,9/13/2024,Peromyscus gossypinus,1,box,Three Lakes
Array 8,9/13/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 9,9/13/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 9,9/13/2024,Anolis sagrei,2,funnel,Three Lakes
Array 10,9/13/2024,Anolis sagrei,1,funnel,Three Lakes
Array 11,9/13/2024,Pseudacris ocularis,2,funnel,Three Lakes
Array 11,9/13/2024,Diadophis punctatus,1,funnel,Three Lakes
Array 11,9/13/2024,Lithobates sphenocephalus,1,funnel,Three Lakes
Array 8,10/15/2024,Anolis sagrei,1,funnel,Three Lakes
Array 9,10/15/2024,Anolis sagrei,2,funnel,Three Lakes
Array 9,10/15/2024,Dryophytes femoralis,1,funnel,Three Lakes
Array 11,10/15/2024,Lampropeltis elapsoides,1,funnel,Three Lakes
Array 11,10/15/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 11,10/15/2024,Eleutherodactylus planirostris,4,funnel,Three Lakes
Array 6,10/15/2024,Thamnophis saurita,1,funnel,Three Lakes
Array 2,10/15/2024,Coluber constrictor,1,box,Three Lakes
Array 8,10/16/2024,Anolis sagrei,1,funnel,Three Lakes
Array 9,10/16/2024,Anolis sagrei,1,box,Three Lakes
Array 9,10/16/2024,Anolis sagrei,3,funnel,Three Lakes
Array 9,10/16/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 10,10/16/2024,Anolis sagrei,1,box,Three Lakes
Array 10,10/16/2024,Anolis sagrei,1,funnel,Three Lakes
Array 10,10/16/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 11,10/16/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 6,10/16/2024,Agkistrodon conanti,1,funnel,Three Lakes
Array 5,10/16/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 5,10/16/2024,Scincella lateralis,1,funnel,Three Lakes
Array 2,10/16/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 3,10/16/2024,Anaxyrus quercicus,1,funnel,Three Lakes
Array 8,10/17/2024,Hemidactylus garnotii,1,funnel,Three Lakes
Array 9,10/17/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 9,10/17/2024,Anolis sagrei,1,funnel,Three Lakes
Array 1,10/17/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 7,10/18/2024,Acris gryllus,1,funnel,Three Lakes
Array 8,10/18/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 8,10/18/2024,Coluber constrictor,1,box,Three Lakes
Array 9,10/18/2024,Dryophytes femoralis,2,funnel,Three Lakes
Array 9,10/18/2024,Anolis sagrei,1,box,Three Lakes
Array 9,10/18/2024,Didelphis virginiana,1,box,Three Lakes
Array 11,10/18/2024,Anolis carolinensis,2,funnel,Three Lakes
Array 11,10/18/2024,Dryophytes femoralis,2,funnel,Three Lakes
Array 11,10/18/2024,Dryophytes squirellus,1,funnel,Three Lakes
Array 5,10/18/2024,Diadophis punctatus,1,funnel,Three Lakes
Array 5,10/18/2024,Thamnophis sirtalis,1,box,Three Lakes
Array 1,10/18/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 3,10/18/2024,Plestiodon inexpectatus,1,funnel,Three Lakes
Array 5,11/11/2024,Pseudacris ocularis,1,funnel,Three Lakes
Array 5,11/11/2024,Eleutherodactylus planirostris,3,funnel,Three Lakes
Array 5,11/11/2024,Scincella lateralis,1,funnel,Three Lakes
Array 6,11/11/2024,Thamnophis saurita,1,funnel,Three Lakes
Array 6,11/11/2024,Thamnophis sirtalis,1,funnel,Three Lakes
Array 4,11/11/2024,Anaxyrus quercicus,2,funnel,Three Lakes
Array 4,11/11/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 3,11/11/2024,Anaxyrus quercicus,2,funnel,Three Lakes
Array 3,11/11/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 1,11/11/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 7,11/11/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 7,11/11/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 7,11/11/2024,Coluber constrictor,1,funnel,Three Lakes
Array 8,11/11/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 9,11/11/2024,Anolis carolinensis,2,funnel,Three Lakes
Array 11,11/11/2024,Diadophis punctatus,1,funnel,Three Lakes
Array 11,11/11/2024,Dryophytes femoralis,1,funnel,Three Lakes
Array 6,11/12/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 5,11/12/2024,Anaxyrus quercicus,2,funnel,Three Lakes
Array 5,11/12/2024,Diadophis punctatus,1,funnel,Three Lakes
Array 4,11/12/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 2,11/12/2024,Eleutherodactylus planirostris,7,funnel,Three Lakes
Array 8,11/12/2024,Micrurus fulvius,1,funnel,Three Lakes
Array 8,11/12/2024,Kinosternon baurii,1,funnel,Three Lakes
Array 10,11/12/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 11,11/12/2024,Thamnophis saurita,1,funnel,Three Lakes
Array 11,11/12/2024,Eleutherodactylus planirostris,3,funnel,Three Lakes
Array 11,11/12/2024,Lithobates sphenocephalus,1,funnel,Three Lakes
Array 11,11/12/2024,Pseudacris ocularis,1,funnel,Three Lakes
Array 9,11/12/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 6,11/13/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 6,11/13/2024,Scincella lateralis,1,funnel,Three Lakes
Array 5,11/13/2024,Micrurus fulvius,1,funnel,Three Lakes
Array 5,11/13/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 5,11/13/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 3,11/13/2024,Masticophis flagellum,1,funnel,Three Lakes
Array 3,11/13/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 2,11/13/2024,Pantherophis quadrivittatus,1,box,Three Lakes
Array 2,11/13/2024,Eleutherodactylus planirostris,2,funnel,Three Lakes
Array 7,11/13/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 7,11/13/2024,Diadophis punctatus,1,funnel,Three Lakes
Array 7,11/13/2024,Pantherophis guttatus,1,funnel,Three Lakes
Array 8,11/13/2024,Coluber constrictor,1,funnel,Three Lakes
Array 11,11/13/2024,Lampropeltis elapsoides,1,funnel,Three Lakes
Array 11,11/13/2024,Lithobates sphenocephalus,2,funnel,Three Lakes
Array 11,11/13/2024,Anolis carolinensis,2,funnel,Three Lakes
Array 5,11/14/2024,Scincella lateralis,1,funnel,Three Lakes
Array 6,11/14/2024,Scincella lateralis,1,funnel,Three Lakes
Array 4,11/14/2024,Micrurus fulvius,1,funnel,Three Lakes
Array 1,11/14/2024,Scincella lateralis,1,funnel,Three Lakes
Array 2,11/14/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 2,11/14/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 11,11/14/2024,Diadophis punctatus,1,funnel,Three Lakes
Array 11,11/14/2024,Dryophytes squirellus,1,funnel,Three Lakes
Array 11,11/14/2024,Anaxyrus terrestris,1,funnel,Three Lakes
Array 11,11/14/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 6,11/15/2024,Coluber constrictor,1,funnel,Three Lakes
Array 4,11/15/2024,Masticophis flagellum,1,funnel,Three Lakes
Array 3,11/15/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 3,11/15/2024,Anaxyrus quercicus,3,funnel,Three Lakes
Array 2,11/15/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 2,11/15/2024,Eleutherodactylus planirostris,3,funnel,Three Lakes
Array 10,11/15/2024,Diadophis punctatus,2,funnel,Three Lakes
Array 11,11/15/2024,Anolis carolinensis,2,funnel,Three Lakes
Array 4,11/16/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 3,11/16/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 1,11/16/2024,Acris gryllus,1,funnel,Three Lakes
Array 1,11/16/2024,Gastrophryne carolinensis,2,funnel,Three Lakes
Array 2,11/16/2024,Scincella lateralis,1,funnel,Three Lakes
Array 2,11/16/2024,Eleutherodactylus planirostris,3,funnel,Three Lakes
Array 5,11/16/2024,Plestiodon egregius,1,funnel,Three Lakes
Array 6,11/16/2024,Plestiodon egregius,1,funnel,Three Lakes
Array 7,11/16/2024,Gastrophryne carolinensis,1,funnel,Three Lakes
Array 8,11/16/2024,Micrurus fulvius,1,funnel,Three Lakes
Array 8,11/16/2024,Anolis sagrei,1,funnel,Three Lakes
Array 8,11/16/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 9,11/16/2024,Aspidoscelis sexlineata,1,funnel,Three Lakes
Array 9,11/16/2024,Anolis sagrei,1,box,Three Lakes
Array 11,11/16/2024,Acris gryllus,2,funnel,Three Lakes
Array 11,11/16/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 5,11/19/2024,Pantherophis guttatus,1,box,Three Lakes
Array 5,11/19/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 2,11/19/2024,Coluber constrictor,1,box,Three Lakes
Array 2,11/19/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 8,11/20/2024,Anolis sagrei,1,funnel,Three Lakes
Array 9,11/20/2024,Anolis sagrei,1,funnel,Three Lakes
Array 9,11/20/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 11,11/20/2024,Dryophytes squirellus,3,funnel,Three Lakes
Array 11,11/20/2024,Dryophytes femoralis,1,funnel,Three Lakes
Array 5,11/20/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 8,11/21/2024,Anolis sagrei,1,funnel,Three Lakes
Array 9,11/21/2024,Anolis sagrei,1,funnel,Three Lakes
Array 9,11/21/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 11,11/21/2024,Pseudacris ocularis,1,funnel,Three Lakes
Array 11,11/21/2024,Eleutherodactylus planirostris,3,funnel,Three Lakes
Array 5,11/21/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 5,11/21/2024,Sigmodon hispidus,1,box,Three Lakes
Array 5,11/21/2024,Eleutherodactylus planirostris,1,funnel,Three Lakes
Array 1,11/21/2024,Anolis carolinensis,1,funnel,Three Lakes
Array 3,11/21/2024,Heterodon platirhinos,1,funnel,Three Lakes
Array 7,11/22/2024,Coluber constrictor,1,funnel,Three Lakes
Array 8,11/22/2024,Eleutherodactylus planirostris,6,funnel,Three Lakes
Array 9,11/22/2024,Anolis carolinensis,1,box,Three Lakes
